휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
밀양영남루(함양),고속국도,14,함양울산선,상행,35.489732,128.663321,일반휴게소,00:00,23:59,25543,112,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,비빔밥,055-355-7972,2026-01-26,B500004,한국도로공사
서부산(순천),고속국도,104,남해제2지선,하행,35.157197,128.948638,일반휴게소,00:00,23:59,12190,130,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,김치찌개,051-941-2110,2026-01-26,B500004,한국도로공사
남한강(통합),고속국도,451,중부내륙선,양방향,37.482835,127.466735,일반휴게소,00:00,23:59,54470,425,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,제육볶음,031-771-5991,2026-01-26,B500004,한국도로공사
횡성(인천),고속국도,50,영동선,상행,37.464983,128.135449,일반휴게소,00:00,23:59,37474,246,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,횡성더덕설렁탕,033-342-4200,2026-01-26,B500004,한국도로공사
횡성(강릉),고속국도,50,영동선,하행,37.462755,128.133969,일반휴게소,00:00,23:59,47509,291,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,횡성한우떡더덕스테이크,033-342-4231,2026-01-26,B500004,한국도로공사
황전(완주),고속국도,27,순천완주선,상행,35.153306,127.454683,일반휴게소,00:00,23:59,34013,121,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,황전해초꼬막비빔밥+재첩국,061-782-1154,2026-01-26,B500004,한국도로공사
황전(순천),고속국도,27,순천완주선,하행,35.148905,127.454145,일반휴게소,00:00,23:59,26097,154,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,고소한 수제돈가스+남도식국물잡채,061-782-1135,2026-01-26,B500004,한국도로공사
황간(서울),고속국도,1,경부선,상행,36.249437,127.854835,일반휴게소,00:00,23:59,32652,118,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,영표국밥＆솥밥,043-742-7633,2026-01-26,B500004,한국도로공사
황간(부산),고속국도,1,경부선,하행,36.248899,127.8526701,일반휴게소,00:00,23:59,28345,119,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,영표국밥＆솥밥,043-742-5805,2026-01-26,B500004,한국도로공사
화성(서울),고속국도,15,서해안선,상행,37.143497,126.881289,일반휴게소,00:00,23:59,47509,444,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,순두부청국장,031-353-8143,2026-01-26,B500004,한국도로공사
화성(목포),고속국도,15,서해안선,하행,37.143612,126.8790801,일반휴게소,00:00,23:59,34013,381,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,화성궁중비빔밥,031-353-8140,2026-01-26,B500004,한국도로공사
화서(영덕),고속국도,30,당진영덕선,상행,36.444053,127.922637,일반휴게소,00:00,23:59,26097,225,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,제육볶음,054-531-1982,2026-01-26,B500004,한국도로공사
홍천강(춘천),고속국도,55,중앙선,상행,37.712386,127.827719,일반휴게소,00:00,23:59,32652,127,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,얼큰황태순두부_주물솥밥,033-435-1201,2026-01-26,B500004,한국도로공사
홍천(양양),고속국도,60,서울양양선,하행,37.757369,128.003099,일반휴게소,00:00,23:59,43386,209,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,홍천닭갈비화로구이,033-436-3000,2026-01-26,B500004,한국도로공사
홍천(서울),고속국도,60,서울양양선,상행,37.758898,128.0065801,일반휴게소,00:00,23:59,55517,255,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,중화비빔밥,033-436-9000,2026-01-26,B500004,한국도로공사
홍성(서울),고속국도,15,서해안선,상행,36.5524301,126.5818701,일반휴게소,00:00,23:59,81664,147,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,홍성반상한우국밥,041-642-1172,2026-01-26,B500004,한국도로공사
홍성(목포),고속국도,15,서해안선,하행,36.552584,126.579514,일반휴게소,00:00,23:59,64043,163,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,홍성반상한우국밥,041-642-1151,2026-01-26,B500004,한국도로공사
현풍(창원),고속국도,451,중부내륙지선,하행,35.701783,128.435359,일반휴게소,00:00,23:59,23928,91,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,현풍고추장불고기백반,053-614-2436,2026-01-26,B500004,한국도로공사
현풍(대구),고속국도,451,중부내륙지선,상행,35.701841,128.4381001,일반휴게소,00:00,23:59,42378,131,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,현풍돼지불고기백반,053-615-0337,2026-01-26,B500004,한국도로공사
행담도,고속국도,15,서해안선,양방향,36.944819,126.807525,일반휴게소,00:00,23:59,42203,627,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,전주양반비빔밥,041-358-0700,2026-01-26,B500004,한국도로공사
함평천지(서울),고속국도,15,서해안선,상행,35.130746,126.482295,일반휴게소,00:00,23:59,49784,126,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,친환경 우렁 강된장 볶음+몽글몽글 순두부찌개,061-323-3641,2026-01-26,B500004,한국도로공사
함평천지(목포),고속국도,15,서해안선,하행,35.069687,126.478247,일반휴게소,00:00,23:59,54324,101,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,나주곰탕+순두부찌개,061-323-3751,2026-01-26,B500004,한국도로공사
함평나비(무안),고속국도,12,무안광주선,하행,35.038198,126.508813,일반휴게소,00:00,23:59,47569,148,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,순두부청국장+등심돈까스,061-324-8858,2026-01-26,B500004,한국도로공사
함평나비(광주),고속국도,12,무안광주선,상행,35.037283,126.511676,일반휴게소,00:00,23:59,21068,148,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,사골김치찌개+황태해장국,061-324-8840,2026-01-26,B500004,한국도로공사
함양(통영),고속국도,35,대전통영선,하행,35.551322,127.758563,일반휴게소,00:00,23:59,202440,117,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,새싹삼비빔밥,055-963-6717,2026-01-26,B500004,한국도로공사
함양(대전),고속국도,35,대전통영선,상행,35.551611,127.7604201,일반휴게소,00:00,23:59,46847,91,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,새싹삼비빔밥,055-963-8001,2026-01-26,B500004,한국도로공사
함안(순천),고속국도,10,남해선,하행,35.294701,128.344767,일반휴게소,00:00,23:59,26068,272,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,,돼지짜글이백반,055-582-5470,2026-01-26,B500004,한국도로공사
함안(부산),고속국도,10,남해선,상행,35.294068,128.346957,일반휴게소,00:00,23:59,47179,281,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,연잎등심돈가스,055-582-2191,2026-01-26,B500004,한국도로공사
하남드림,고속국도,35,중부선,양방향,37.530281,127.206084,일반휴게소,00:00,23:59,50294,725,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,하남마방장터국밥,031-791-4200,2026-01-26,B500004,한국도로공사
평택,고속국도,40,평택제천선,양방향,37.045585,126.943774,일반휴게소,00:00,23:59,29993,735,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,평택나루사골우거지국밥,031-683-4800,2026-01-26,B500004,한국도로공사
평창(인천),고속국도,50,영동선,상행,37.610876,128.463363,일반휴게소,00:00,23:59,20787,230,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,평창한우국밥,033-333-6131,2026-01-26,B500004,한국도로공사
평창(강릉),고속국도,50,영동선,하행,37.6055701,128.452681,일반휴게소,00:00,23:59,61050,195,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,평창한우불고기비빔밥,033-334-5100,2026-01-26,B500004,한국도로공사
평사(부산),고속국도,1,경부선,하행,35.885522,128.867541,일반휴게소,00:00,23:59,63813,243,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,경산대추비빔밥,053-852-8651,2026-01-26,B500004,한국도로공사
통도사(부산),고속국도,1,경부선,하행,35.488841,129.090775,일반휴게소,00:00,23:59,29882,251,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,1등급한우국밥,055-383-6145,2026-01-26,B500004,한국도로공사
칠서(양평),고속국도,451,중부내륙지선,상행,35.3708801,128.496807,일반휴게소,00:00,23:59,22467,128,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,소고기국밥,055-587-9656,2026-01-26,B500004,한국도로공사
칠곡(서울),고속국도,1,경부선,상행,36.012005,128.4308001,일반휴게소,00:00,23:59,25690,231,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,대구따로국밥,054-975-1883,2026-01-26,B500004,한국도로공사
칠곡(부산),고속국도,1,경부선,하행,36.019795,128.428517,화물차휴게소,00:00,23:59,24871,334,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,칠곡호국부대찌개,054-975-2277,2026-01-26,B500004,한국도로공사
치악(춘천),고속국도,55,중앙선,하행,37.256692,128.0488701,일반휴게소,00:00,23:59,44617,149,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,치악산큰송이닭곰탕,033-762-8030,2026-01-26,B500004,한국도로공사
치악(부산),고속국도,55,중앙선,상행,37.253647,128.048514,일반휴게소,00:00,23:59,23752,156,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,산나물만두감자옹심이,033-762-9234,2026-01-26,B500004,한국도로공사
충주(창원),고속국도,45,중부내륙선,하행,37.022229,127.837071,일반휴게소,00:00,23:59,22467,261,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,충주사과수제돈가스,043-857-9339,2026-01-26,B500004,한국도로공사
충주(양평),고속국도,45,중부내륙선,상행,37.023175,127.839297,일반휴게소,00:00,23:59,45558,237,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,얼큰새뱅이해물순두부,043-857-9229,2026-01-26,B500004,한국도로공사
춘향(완주),고속국도,27,순천완주선,상행,35.3376914,127.3537495,일반휴게소,00:00,23:59,29675,180,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,향단이정식+방자네추어탕,063-635-6688,2026-01-26,B500004,한국도로공사
춘향(순천),고속국도,27,순천완주선,하행,35.3367566,127.3515503,일반휴게소,00:00,23:59,61992,154,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,향단이정식+방자네추어탕,063-631-2020,2026-01-26,B500004,한국도로공사
춘천(부산),고속국도,55,중앙선,하행,37.8126801,127.766078,일반휴게소,00:00,23:59,45696,105,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,춘천버섯닭갈비정식,033-264-0500,2026-01-26,B500004,한국도로공사
추풍령(서울),고속국도,1,경부선,상행,36.199708,128.003242,일반휴게소,00:00,23:59,63390,160,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,김천지례석쇠불고기,054-439-3187,2026-01-26,B500004,한국도로공사
추풍령(부산),고속국도,1,경부선,하행,36.200356,128.000331,일반휴게소,00:00,23:59,70169,213,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,얼큰칼제비,054-430-2000,2026-01-26,B500004,한국도로공사
청통(대구),고속국도,20,대구포항선,하행,35.993928,128.859145,일반휴게소,00:00,23:59,46378,158,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,차돌된장찌개,054-337-5009,2026-01-26,B500004,한국도로공사
청주(서울),고속국도,1,경부선,상행,36.716005,127.349315,화물차휴게소,00:00,23:59,89093,280,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,솥밥통마늘제육정식,043-237-1700,2026-01-26,B500004,한국도로공사
청송(청주),고속국도,30,상주영덕선,하행,36.456721,129.012028,일반휴게소,00:00,23:59,16546,75,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,청송사과돈가스,054-873-5911,2026-01-26,B500004,한국도로공사
청송(영덕),고속국도,30,상주영덕선,상행,36.455725,129.0131901,일반휴게소,00:00,23:59,47354,80,N,Y,N,N,N,N,Y,N,Y,Y,Y,,청송사과돈가스,054-873-9102,2026-01-26,B500004,한국도로공사
천안호두(부산),고속국도,1,경부선,하행,36.730226,127.263879,일반휴게소,00:00,23:59,23402,224,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,아우네병천순대국밥,041-552-4560,2026-01-26,B500004,한국도로공사
천안삼거리(서울),고속국도,1,경부선,상행,36.787809,127.173455,일반휴게소,00:00,23:59,6014,271,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,해주비빔밥,041-551-2480,2026-01-26,B500004,한국도로공사
천등산(평택),고속국도,40,평택제천선,상행,37.076872,127.989171,일반휴게소,00:00,23:59,6394,110,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,우렁순두부찌개,043-844-2930,2026-01-26,B500004,한국도로공사
천등산(제천),고속국도,40,평택제천선,하행,37.061597,127.939378,일반휴게소,00:00,23:59,17803,122,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,천등산고추장짜글이,043-844-2991,2026-01-26,B500004,한국도로공사
진주(부산),고속국도,10,남해선,상행,35.159772,128.1220101,일반휴게소,00:00,23:59,26533,199,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,진주육전비빔밥,055-759-3205,2026-01-26,B500004,한국도로공사
진영(순천),고속국도,10,남해선,하행,35.280059,128.716044,일반휴게소,00:00,23:59,16876,433,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,장군차갈비찜,055-342-3959,2026-01-26,B500004,한국도로공사
진영(부산),고속국도,10,남해선,상행,35.2779101,128.715388,일반휴게소,00:00,23:59,28016,602,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,진영소국밥,055-334-8700,2026-01-26,B500004,한국도로공사
진안마이산(장수),고속국도,20,익산장수선,상행,35.7748201,127.426362,일반휴게소,00:00,23:59,93523,84,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,흑돼지돈까스,063-432-6350,2026-01-26,B500004,한국도로공사
진안마이산(익산),고속국도,20,익산장수선,하행,35.777898,127.425279,일반휴게소,00:00,23:59,31124,84,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,흑돼지고추장찌개,063-432-1380,2026-01-26,B500004,한국도로공사
지리산(대구),고속국도,12,광주대구선,상행,35.481353,127.566804,일반휴게소,00:00,23:59,22194,107,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,춘향돌솥추어탕+화덕고등어구이,063-636-7191,2026-01-26,B500004,한국도로공사
지리산(광주),고속국도,12,광주대구선,하행,35.483942,127.567106,일반휴게소,00:00,23:59,50251,145,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,춘향돌솥추어탕+화덕고등어구이,063-636-7195,2026-01-26,B500004,한국도로공사
죽전(서울),고속국도,1,경부선,상행,37.332371,127.104795,일반휴게소,00:00,23:59,53532,229,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,용인특산품영양밥정식,031-262-3168,2026-01-26,B500004,한국도로공사
죽암(서울),고속국도,1,경부선,상행,36.496775,127.4306501,일반휴게소,00:00,23:59,61516,208,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,돌솥비빔밥,043-260-8035,2026-01-26,B500004,한국도로공사
죽암(부산),고속국도,1,경부선,하행,36.4868101,127.429261,일반휴게소,00:00,23:59,40224,235,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,보은대추왕갈비탕,043-269-0850,2026-01-26,B500004,한국도로공사
주암(천안),고속국도,25,호남선,상행,35.076587,127.265762,일반휴게소,00:00,23:59,28982,124,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,오.쭈.삼 철판볶음+제육볶음,061-754-2432,2026-01-26,B500004,한국도로공사
주암(순천),고속국도,25,호남선,하행,35.076197,127.2641001,일반휴게소,00:00,23:59,18860,99,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,한우파개장+해물순두부,061-754-4980,2026-01-26,B500004,한국도로공사
정읍녹두장군(천안),고속국도,25,호남선,상행,35.599975,126.864336,일반휴게소,00:00,23:59,29312,172,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,정읍국밥,063-532-2373,2026-01-26,B500004,한국도로공사
정읍녹두장군(순천),고속국도,25,호남선,하행,35.601465,126.862006,일반휴게소,00:00,23:59,25780,145,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,녹두장군오리탕,063-532-0510,2026-01-26,B500004,한국도로공사
장흥정남진,고속국도,10,남해선,양방향,34.720894,126.931319,일반휴게소,00:00,23:59,28705,116,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,표고뚝배기불고기+순두부찌개,061-864-5007,2026-01-26,B500004,한국도로공사
장유(서부산),고속국도,10,남해선,하행,35.212074,128.7935801,일반휴게소,00:00,23:59,28126,107,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,통영해물순두부찌개,055-313-2610,2026-01-26,B500004,한국도로공사
입장거봉포도(서울),고속국도,1,경부선,상행,36.942997,127.192467,화물차휴게소,00:00,23:59,40011,350,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,입장거봉포도돈까스,041-588-7868,2026-01-26,B500004,한국도로공사
이천(하남),고속국도,35,중부선,상행,37.293979,127.378203,일반휴게소,00:00,23:59,17409,238,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,영양돌솥비빔밥,031-638-1117,2026-01-26,B500004,한국도로공사
이천(남이),고속국도,35,중부선,하행,37.264574,127.403687,일반휴게소,00:00,23:59,41925,126,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,장터국밥,031-637-0987,2026-01-26,B500004,한국도로공사
이서(천안),고속국도,25,호남선,상행,35.801932,127.025759,화물차휴게소,00:00,23:59,81553,90,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,명품애호박국밥,063-236-2592,2026-01-26,B500004,한국도로공사
이서(순천),고속국도,25,호남선,하행,35.803936,127.023705,화물차휴게소,00:00,23:59,70002,91,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,명품꼬막비빔밥,063-227-4114,2026-01-26,B500004,한국도로공사
의성(청주),고속국도,30,상주영덕선,상행,36.410954,128.4447101,일반휴게소,00:00,23:59,82868,67,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,의성마늘육개장,054-862-9076,2026-01-26,B500004,한국도로공사
의성(영덕),고속국도,30,상주영덕선,하행,36.409501,128.447699,일반휴게소,00:00,23:59,29463,72,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,의성마늘곰탕,054-862-9252,2026-01-26,B500004,한국도로공사
음성(하남),고속국도,35,중부선,상행,37.022065,127.484315,일반휴게소,00:00,23:59,27508,248,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,음성인삼설렁탕,043-878-6403,2026-01-26,B500004,한국도로공사
음성(남이),고속국도,35,중부선,하행,37.019638,127.480712,일반휴게소,00:00,23:59,16237,333,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,우거지별난국밥,043-878-6410,2026-01-26,B500004,한국도로공사
원주(춘천),고속국도,55,중앙선,상행,37.434542,127.931768,일반휴게소,00:00,23:59,19101,141,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,한돈고추장불고기,033-731-8194,2026-01-26,B500004,한국도로공사
원주(부산),고속국도,55,중앙선,하행,37.435194,127.929063,일반휴게소,00:00,23:59,43895,163,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,한우국밥,033-731-4291,2026-01-26,B500004,한국도로공사
울주(함양),고속국도,14,밀양울산선,하행,35.5131601,129.128519,일반휴게소,00:00,23:59,77783,208,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,고등어구이,052-933-5242,2026-01-26,B500004,한국도로공사
울주(울산),고속국도,14,밀양울산선,상행,35.510821,129.130435,일반휴게소,00:00,23:59,32496,159,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,돼지갈비정식,052-977-3243,2026-01-26,B500004,한국도로공사
용인(인천),고속국도,50,영동선,상행,37.248318,127.238342,일반휴게소,00:00,23:59,42927,169,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,콩고기더덕돌솥비빔밥,031-339-3660,2026-01-26,B500004,한국도로공사
용인(강릉),고속국도,50,영동선,하행,37.245583,127.2419801,일반휴게소,00:00,23:59,48897,313,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,소고기국밥,031-339-3663,2026-01-26,B500004,한국도로공사
외동(포항),고속국도,65,울산포항선,상행,35.672847,129.288543,일반휴게소,00:00,23:59,86844,72,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,천년한우국밥,054-745-0631,2026-01-26,B500004,한국도로공사
외동(부산),고속국도,65,울산포항선,하행,35.672753,129.285277,일반휴게소,00:00,23:59,86844,73,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,장터국밥,054-745-0637,2026-01-26,B500004,한국도로공사
와촌(포항),고속국도,20,대구포항선,상행,35.951819,128.775563,일반휴게소,00:00,23:59,32862,141,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,대추고추장비빔밥,053-853-1002,2026-01-26,B500004,한국도로공사
옥천만남,고속국도,1,경부선,양방향,36.308718,127.572308,화물차휴게소,00:00,23:59,33223,212,Y,Y,N,Y,N,N,Y,N,N,Y,N,,없음,043-732-0081,2026-01-26,B500004,한국도로공사
옥천(서울),고속국도,1,경부선,상행,36.297616,127.598777,일반휴게소,00:00,23:59,29069,147,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,한방닭곰탕,043-731-8097,2026-01-26,B500004,한국도로공사
옥천(부산),고속국도,1,경부선,하행,36.296863,127.595223,화물차휴게소,00:00,23:59,27498,177,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,숯불고기비빔밥,043-731-8521,2026-01-26,B500004,한국도로공사
옥산(부산),고속국도,1,경부선,하행,36.657743,127.369817,화물차휴게소,00:00,23:59,41484,232,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,화덕고추장삼겹살,043-260-1053,2026-01-26,B500004,한국도로공사
옥계(속초),고속국도,65,동해선,상행,37.616198,129.060129,일반휴게소,00:00,23:59,45218,156,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,막국수,033-534-1700,2026-01-26,B500004,한국도로공사
오창(하남),고속국도,35,중부선,상행,36.756581,127.481909,일반휴게소,00:00,23:59,25278,191,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,등심돈가스,043-217-8303,2026-01-26,B500004,한국도로공사
오창(남이),고속국도,35,중부선,하행,36.758481,127.481777,일반휴게소,00:00,23:59,43421,134,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,능이버섯인삼설렁탕,043-217-1477,2026-01-26,B500004,한국도로공사
오수(완주),고속국도,27,순천완주선,상행,35.540271,127.311622,일반휴게소,00:00,23:59,33272,183,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,임실치즈 매콤돈까스+임실치즈 식물성불고기철판볶음밥,063-644-5115,2026-01-26,B500004,한국도로공사
오수(순천),고속국도,27,순천완주선,하행,35.540925,127.309267,일반휴게소,00:00,23:59,70390,216,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,임실치즈 매콤돈까스+임실치즈 식물성제육철판볶음밥,063-644-6116,2026-01-26,B500004,한국도로공사
예산(대전),고속국도,30,당진영덕선,상행,36.6234601,126.839619,일반휴게소,00:00,23:59,16297,195,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,한방돼지국밥,041-334-0094,2026-01-26,B500004,한국도로공사
예산(당진),고속국도,30,당진영덕선,하행,36.619429,126.846389,일반휴게소,00:00,23:59,11001,187,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,사과돈가스,041-335-0020,2026-01-26,B500004,한국도로공사
영천(포항),고속국도,20,대구포항선,상행,36.051451,129.042544,화물차휴게소,00:00,23:59,44883,266,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,영천뽕잎얼갈이해장국,054-338-0062,2026-01-26,B500004,한국도로공사
영천(대구),고속국도,20,대구포항선,하행,36.053254,129.044422,화물차휴게소,00:00,23:59,57978,298,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,영천돼지짜글이,054-338-0037,2026-01-26,B500004,한국도로공사
영산(창원),고속국도,451,중부내륙지선,하행,35.429794,128.495915,일반휴게소,00:00,23:59,62787,136,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,창녕양파제육정식,055-521-2978,2026-01-26,B500004,한국도로공사
여주(인천),고속국도,50,영동선,상행,37.239739,127.569949,일반휴게소,00:00,23:59,66423,249,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,매운돼지갈비찜,031-882-2900,2026-01-26,B500004,한국도로공사
여주(강릉),고속국도,50,영동선,하행,37.238022,127.568892,일반휴게소,00:00,23:59,74442,404,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,용대리황태해장국,031-882-3120,2026-01-26,B500004,한국도로공사
